Canada-Ontario, Population size (abridged)	Last modified: 28 May 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0             30156.82        31530.26        61687.08
  1921         1-4            124022.95       127180.59       251203.54
  1921         5-9            150860.10       153999.05       304859.15
  1921        10-14           135234.00       137695.06       272929.06
  1921        15-19           127866.15       126996.95       254863.10
  1921        20-24           124758.59       117025.00       241783.59
  1921        25-29           119984.79       118988.76       238973.55
  1921        30-34           111333.73       114260.66       225594.39
  1921        35-39           105851.99       112192.14       218044.13
  1921        40-44            89778.58        94943.54       184722.12
  1921        45-49            77927.48        82726.39       160653.87
  1921        50-54            68431.58        71202.51       139634.09
  1921        55-59            55009.86        57801.97       112811.83
  1921        60-64            47105.06        48442.31        95547.37
  1921        65-69            33567.35        34853.67        68421.02
  1921        70-74            23951.75        23830.76        47782.51
  1921        75-79            15532.23        14645.71        30177.94
  1921        80-84             9622.93         8192.97        17815.90
  1921        85-89             3896.85         3212.88         7109.73
  1921        90-94             1150.50          839.33         1989.83
  1921        95-99              240.73          185.58          426.31
  1921       100-104              25.72           35.41           61.13
  1921       105-109               0.61            2.67            3.28
  1921       110+                  0.00            0.00            0.00
  1922           0             27699.85        28791.68        56491.53
  1922         1-4            121233.57       124583.38       245816.95
  1922         5-9            152841.92       156008.49       308850.41
  1922        10-14           137583.84       140158.63       277742.47
  1922        15-19           128592.33       129208.78       257801.11
  1922        20-24           124883.84       117058.63       241942.47
  1922        25-29           121041.92       118958.62       240000.54
  1922        30-34           111875.34       113883.57       225758.91
  1922        35-39           107517.26       113733.42       221250.68
  1922        40-44            92200.55        97467.11       189667.66
  1922        45-49            79275.62        84392.05       163667.67
  1922        50-54            70267.12        73150.40       143417.52
  1922        55-59            56133.70        59009.04       115142.74
  1922        60-64            48400.28        49666.85        98067.13
  1922        65-69            34758.63        36150.13        70908.76
  1922        70-74            24483.55        24508.49        48992.04
  1922        75-79            15491.78        14733.42        30225.20
  1922        80-84             9823.56         8370.09        18193.65
  1922        85-89             4008.95         3320.58         7329.53
  1922        90-94             1183.01          871.03         2054.04
  1922        95-99              231.70          185.65          417.35
  1922       100-104              23.04           35.11           58.15
  1922       105-109               0.00            3.52            3.52
  1922       110+                  0.00            0.00            0.00
  1923           0             27762.85        28720.72        56483.57
  1923         1-4            121512.22       124896.00       246408.22
  1923         5-9            153825.20       156825.21       310650.41
  1923        10-14           139608.77       141108.48       280717.25
  1923        15-19           131258.91       131400.55       262659.46
  1923        20-24           126850.41       117833.43       244683.84
  1923        25-29           122083.56       119791.78       241875.34
  1923        30-34           113083.56       114708.50       227792.06
  1923        35-39           109592.05       114133.43       223725.48
  1923        40-44            94308.76        98650.14       192958.90
  1923        45-49            81800.56        85858.63       167659.19
  1923        50-54            71741.92        74250.14       145992.06
  1923        55-59            57558.64        60591.78       118150.42
  1923        60-64            49483.56        50408.49        99892.05
  1923        65-69            35941.92        36750.14        72692.06
  1923        70-74            25425.20        25033.42        50458.62
  1923        75-79            15991.78        15075.07        31066.85
  1923        80-84             9935.88         8450.01        18385.89
  1923        85-89             4105.01         3348.28         7453.29
  1923        90-94             1205.59          911.97         2117.56
  1923        95-99              229.25          177.07          406.32
  1923       100-104              29.66           21.73           51.39
  1923       105-109               0.65            0.75            1.40
  1923       110+                  0.00            0.00            0.00
  1924           0             27804.51        28658.75        56463.26
  1924         1-4            121887.28       125216.31       247103.59
  1924         5-9            154900.27       157725.21       312625.48
  1924        10-14           141508.77       142333.70       283842.47
  1924        15-19           134050.69       134033.98       268084.67
  1924        20-24           128708.76       118816.99       247525.75
  1924        25-29           123141.92       120466.85       243608.77
  1924        30-34           114258.64       115700.28       229958.92
  1924        35-39           111292.06       114591.79       225883.85
  1924        40-44            96383.84       100533.97       196917.81
  1924        45-49            84900.82        87508.76       172409.58
  1924        50-54            73425.49        75316.98       148742.47
  1924        55-59            59150.41        61091.78       120242.19
  1924        60-64            50600.27        51108.49       101708.76
  1924        65-69            37100.28        37641.91        74742.19
  1924        70-74            26558.62        25666.84        52225.46
  1924        75-79            16491.77        15491.79        31983.56
  1924        80-84            10098.90         8589.41        18688.31
  1924        85-89             4085.21         3249.67         7334.88
  1924        90-94             1230.88          928.11         2158.99
  1924        95-99              226.53          180.48          407.01
  1924       100-104              32.83           18.57           51.40
  1924       105-109               1.65            0.00            1.65
  1924       110+                  0.00            0.00            0.00
  1925           0             27860.77        28695.60        56556.37
  1925         1-4            122272.67       125421.11       247693.78
  1925         5-9            156041.91       158741.92       314783.83
  1925        10-14           143642.20       144517.26       288159.46
  1925        15-19           137167.40       136833.97       274001.37
  1925        20-24           130783.84       120275.35       251059.19
  1925        25-29           124300.28       121150.13       245450.41
  1925        30-34           115733.69       116666.85       232400.54
  1925        35-39           113342.19       115150.14       228492.33
  1925        40-44            98817.27       102458.62       201275.89
  1925        45-49            88675.89        90342.46       179018.35
  1925        50-54            75992.32        76833.70       152826.02
  1925        55-59            60716.98        61941.93       122658.91
  1925        60-64            52033.70        51925.21       103958.91
  1925        65-69            38416.99        38625.21        77042.20
  1925        70-74            28150.41        26525.20        54675.61
  1925        75-79            17050.14        15991.78        33041.92
  1925        80-84            10444.48         8787.29        19231.77
  1925        85-89             4213.88         3326.26         7540.14
  1925        90-94             1242.35          930.31         2172.66
  1925        95-99              227.54          185.67          413.21
  1925       100-104              28.36           24.44           52.80
  1925       105-109               0.26            0.31            0.57
  1925       110+                  0.00            0.00            0.00
  1926           0             28072.32        28716.33        56788.65
  1926         1-4            122461.10       125658.73       248119.83
  1926         5-9            156850.14       159783.56       316633.70
  1926        10-14           146292.33       146650.42       292942.75
  1926        15-19           140250.69       139867.39       280118.08
  1926        20-24           132983.83       121541.91       254525.74
  1926        25-29           125500.28       121866.86       247367.14
  1926        30-34           117800.54       117700.27       235500.81
  1926        35-39           115583.85       116275.35       231859.20
  1926        40-44           101417.27       104225.48       205642.75
  1926        45-49            92167.40        93725.75       185893.15
  1926        50-54            78600.54        79075.61       157676.15
  1926        55-59            62175.35        63158.63       125333.98
  1926        60-64            53575.35        52533.42       106108.77
  1926        65-69            39875.34        39641.92        79517.26
  1926        70-74            29950.41        27425.21        57375.62
  1926        75-79            17591.78        16316.72        33908.50
  1926        80-84            10614.92         8911.60        19526.52
  1926        85-89             4376.76         3374.94         7751.70
  1926        90-94             1247.43          927.96         2175.39
  1926        95-99              245.12          181.30          426.42
  1926       100-104              33.70           21.26           54.96
  1926       105-109               1.01            0.00            1.01
  1926       110+                  0.00            0.00            0.00
  1927           0             28142.64        28637.14        56779.78
  1927         1-4            122674.08       126154.65       248828.73
  1927         5-9            157800.27       161542.18       319342.45
  1927        10-14           148375.34       149033.97       297409.31
  1927        15-19           142608.76       142775.62       285384.38
  1927        20-24           134775.35       125267.96       260043.31
  1927        25-29           126525.20       123483.84       250009.04
  1927        30-34           119441.92       119892.33       239334.25
  1927        35-39           117141.92       118125.48       235267.40
  1927        40-44           103316.98       106675.62       209992.60
  1927        45-49            94316.99        96442.18       190759.17
  1927        50-54            80533.69        82475.89       163009.58
