Canada-Ontario, Life tables (period 5x5), Females	Last modified: 28 May 2025;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1924        0      0.09080  0.08548  0.31  100000    8548   94137  6015539  60.16
1921-1924      1-4      0.00642  0.02528  1.44   91452    2312  359897  5921402  64.75
1921-1924      5-9      0.00224  0.01112  2.25   89140     991  442978  5561505  62.39
1921-1924     10-14     0.00169  0.00844  2.47   88149     744  438865  5118526  58.07
1921-1924     15-19     0.00235  0.01170  2.70   87405    1022  434678  4679661  53.54
1921-1924     20-24     0.00329  0.01632  2.61   86383    1410  428552  4244983  49.14
1921-1924     25-29     0.00380  0.01881  2.52   84973    1598  420910  3816431  44.91
1921-1924     30-34     0.00425  0.02103  2.49   83375    1753  412472  3395521  40.73
1921-1924     35-39     0.00519  0.02563  2.53   81622    2092  402933  2983049  36.55
1921-1924     40-44     0.00580  0.02857  2.56   79530    2272  392099  2580116  32.44
1921-1924     45-49     0.00749  0.03679  2.53   77257    2842  379255  2188017  28.32
1921-1924     50-54     0.01003  0.04897  2.58   74415    3644  363254  1808763  24.31
1921-1924     55-59     0.01435  0.06938  2.62   70771    4910  342172  1445508  20.43
1921-1924     60-64     0.02149  0.10217  2.60   65861    6729  313140  1103337  16.75
1921-1924     65-69     0.03455  0.15947  2.59   59132    9430  272920   790197  13.36
1921-1924     70-74     0.05560  0.24488  2.57   49702   12171  218899   517277  10.41
1921-1924     75-79     0.09138  0.37001  2.43   37531   13887  151974   298378   7.95
1921-1924     80-84     0.12358  0.46997  2.45   23644   11112   89916   146404   6.19
1921-1924     85-89     0.19600  0.63408  2.22   12532    7946   40542    56488   4.51
1921-1924     90-94     0.26459  0.75047  2.12    4586    3441   13006    15947   3.48
1921-1924     95-99     0.37607  0.86374  1.87    1144     988    2628     2940   2.57
1921-1924    100-104    0.49233  0.92840  1.65     156     145     294      312   2.00
1921-1924    105-109    0.61004  0.96282  1.45      11      11      18       18   1.63
1921-1924    110+       0.70190  1.00000  1.42       0       0       1        1   1.42
1925-1929        0      0.07971  0.07558  0.31  100000    7558   94816  6167069  61.67
1925-1929      1-4      0.00558  0.02199  1.42   92442    2033  364534  6072253  65.69
1925-1929      5-9      0.00177  0.00879  2.27   90410     794  449883  5707719  63.13
1925-1929     10-14     0.00153  0.00764  2.62   89615     685  446446  5257836  58.67
1925-1929     15-19     0.00215  0.01072  2.68   88931     953  442445  4811390  54.10
1925-1929     20-24     0.00306  0.01518  2.55   87977    1335  436622  4368946  49.66
1925-1929     25-29     0.00342  0.01694  2.55   86642    1467  429612  3932324  45.39
1925-1929     30-34     0.00402  0.01989  2.57   85175    1694  421756  3502711  41.12
1925-1929     35-39     0.00453  0.02239  2.52   83481    1870  412778  3080955  36.91
1925-1929     40-44     0.00557  0.02746  2.57   81612    2241  402618  2668178  32.69
1925-1929     45-49     0.00700  0.03444  2.60   79371    2734  390287  2265560  28.54
1925-1929     50-54     0.00926  0.04529  2.63   76637    3471  374958  1875273  24.47
1925-1929     55-59     0.01398  0.06769  2.66   73166    4953  354238  1500315  20.51
1925-1929     60-64     0.02134  0.10158  2.64   68213    6929  324746  1146077  16.80
1925-1929     65-69     0.03530  0.16266  2.59   61284    9968  282417   821331  13.40
1925-1929     70-74     0.05171  0.22958  2.56   51316   11781  227823   538913  10.50
1925-1929     75-79     0.09102  0.36982  2.47   39535   14621  160640   311090   7.87
1925-1929     80-84     0.12762  0.48133  2.45   24914   11992   93963   150450   6.04
1925-1929     85-89     0.20243  0.64775  2.22   12922    8370   41350    56488   4.37
1925-1929     90-94     0.27823  0.76612  2.07    4552    3487   12534    15138   3.33
1925-1929     95-99     0.39676  0.87892  1.83    1065     936    2358     2604   2.45
1925-1929    100-104    0.51882  0.93853  1.60     129     121     233      246   1.90
1925-1929    105-109    0.63947  0.96864  1.40       8       8      12       12   1.56
1925-1929    110+       0.73167  1.00000  1.37       0       0       0        0   1.37
1930-1934        0      0.06528  0.06243  0.30  100000    6243   95630  6423119  64.23
1930-1934      1-4      0.00381  0.01510  1.38   93757    1415  371320  6327489  67.49
1930-1934      5-9      0.00124  0.00618  2.31   92342     571  460176  5956169  64.50
1930-1934     10-14     0.00109  0.00546  2.55   91771     501  457628  5495993  59.89
1930-1934     15-19     0.00173  0.00861  2.75   91270     786  454582  5038366  55.20
1930-1934     20-24     0.00253  0.01256  2.62   90484    1137  449717  4583784  50.66
1930-1934     25-29     0.00298  0.01478  2.60   89348    1321  443567  4134067  46.27
1930-1934     30-34     0.00329  0.01634  2.54   88027    1438  436605  3690501  41.92
1930-1934     35-39     0.00408  0.02020  2.56   86589    1749  428670  3253896  37.58
1930-1934     40-44     0.00483  0.02388  2.60   84840    2026  419344  2825226  33.30
1930-1934     45-49     0.00658  0.03238  2.63   82814    2681  407724  2405881  29.05
1930-1934     50-54     0.00909  0.04447  2.62   80133    3563  392172  1998157  24.94
1930-1934     55-59     0.01350  0.06546  2.68   76569    5012  371198  1605986  20.97
1930-1934     60-64     0.02065  0.09849  2.66   71558    7048  341330  1234788  17.26
1930-1934     65-69     0.03153  0.14648  2.58   64510    9449  299723   893458  13.85
1930-1934     70-74     0.05119  0.22801  2.61   55061   12554  245242   593735  10.78
